bank_name,atm_cd,atm_lat,atm_long,stname,dtname,atm_city,atm_pin_cd
State Bank Of India,S1BW020185002,16.237173,77.802755,TELANGANA,Jogulamba Gadwal,GADWAL, 
ICICI Bank Ltd,S1CWK631,16.237583,77.805938,TELANGANA,Jogulamba Gadwal, , 
ICICI Bank Ltd,S1CW4717,16.237584,77.805936,TELANGANA,Jogulamba Gadwal,Gadwal, 
Axis Bank Ltd,BPCN288504,16.237809,77.803909,TELANGANA,Jogulamba Gadwal,MAHBUBNAGAR, 
Axis Bank Ltd,BPCN288503,16.238767,77.7926,TELANGANA,Jogulamba Gadwal,0,509125
State Bank Of India,S5NL021521621,16.243762,77.850946,TELANGANA,Jogulamba Gadwal,KOTHAGUDEM, 
Union Bank Of India,H2607101,16.2561,77.8348,TELANGANA,Jogulamba Gadwal,GADWAL,509125
Union Bank Of India,W0777001,16.2644,78.0656,TELANGANA,Wanaparthy,CHINNA CHINTAKUNTA,509111
State Bank Of India,S1BW006522001,16.26949,78.51636,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509401
State Bank Of India,T1NS020175064,16.269634,78.136397,TELANGANA,Wanaparthy,NALGONDA, 
State Bank Of India,T1NW020187020,16.283236,77.956059,TELANGANA,Wanaparthy,Pebbair, 
State Bank Of India,S5NE005875621,16.29118,78.18299,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509209
Punjab National Bank,N1281500,16.29797,78.35918,TELANGANA,Nagarkurnool,MAHABOOBNAGAR,509412
State Bank Of India,T1NW020187017,16.312936,77.754116,TELANGANA,Jogulamba Gadwal,Mahbubnagar, 
State Bank Of India,S5NE003884621,16.31447,78.13124,TELANGANA,Wanaparthy,MAHBUBNAGAR,509203
Union Bank Of India,N2088001,16.3276,78.5615,TELANGANA,Nagarkurnool,BALMOOR,509401
Axis Bank Ltd,DECN355101,16.328514,77.947253,TELANGANA,Wanaparthy, , 
State Bank Of India,S5NE007081621,16.33638,77.804626,TELANGANA,Wanaparthy,ATMAKUR, 
State Bank Of India,S1BW007081002,16.336386,77.804571,TELANGANA,Wanaparthy,ATMAKUR, 
State Bank Of India,T1NW020184026,16.344143,78.043891,TELANGANA,Wanaparthy,WANAPARTHY, 
State Bank Of India,S5NC020187621,16.348847,78.055879,TELANGANA,Wanaparthy,WANAPARTHY, 
State Bank Of India,T1NS020187014,16.350526,78.055769,TELANGANA,Wanaparthy,WANAPARTHY, 
HDFC Bank Ltd,P3DCWN03,16.3535,78.0586,TELANGANA,Wanaparthy,Wanaparthy,NULL
Indian Overseas Bank,IOB4429,16.354563,78.057926,TELANGANA,Wanaparthy,KOTHALABAD,509371
Indian Overseas Bank,IOB7115,16.354563,78.057926,TELANGANA,Wanaparthy,WANAPARTHY,0
HDFC Bank Ltd,S1ACAP58,16.3575,78.061,TELANGANA,Wanaparthy,Wanaparthy,NULL
HDFC Bank Ltd,S1ACAP57,16.3575,78.061,TELANGANA,Wanaparthy,Wanaparthy,NULL
State Bank Of India,S1BB018907001,16.358984,78.06615,TELANGANA,Wanaparthy, Wanaparthy,509103
Uco Bank,VA074501,16.360508,78.062516,TELANGANA,Wanaparthy, , 
Bank Of Baroda,1VD413201,16.360637,78.062379,TELANGANA,Wanaparthy,WANAPARTHY,509103
State Bank Of India,T1NS020187015,16.360911,78.065534,TELANGANA,Wanaparthy,Wanaparthy, 
State Bank Of India,S1BG020187002,16.361231,78.06211,TELANGANA,Wanaparthy, Wanaparthy, 
Union Bank Of India,H0632101,16.3618,78.0635,TELANGANA,Wanaparthy,WANAPARTHY,509103
Union Bank Of India,N0632002,16.3618,78.0635,TELANGANA,Wanaparthy,WANAPARTHY,509103
ICICI Bank Ltd,S1CNQ351,16.362131,78.062202,TELANGANA,Wanaparthy, , 
State Bank Of India,T1BY020187023,16.362299,78.062199,TELANGANA,Wanaparthy,Wanaparthy, 
Bank Of Baroda,1VW419101,16.362884,78.373888,TELANGANA,Nagarkurnool,PEDDAMUDNUR,509412
State Bank Of India,T1NY020187022,16.363171,78.064026,TELANGANA,Wanaparthy,WANAPARTHY, 
State Bank Of India,T1NW020187009,16.364199,78.060915,TELANGANA,Wanaparthy,"GANDHI CHOWK, WANAPARTHY", 
Union Bank Of India,N0950001,16.3653,78.0597,TELANGANA,Wanaparthy,SRIRANGAPURAM,509104
State Bank Of India,T1NW020187008,16.365517,78.067782,TELANGANA,Wanaparthy,"GANDHI CHOWK, WANAPARTHY", 
ICICI Bank Ltd,SCVDL351,16.366628,78.066673,TELANGANA,Wanaparthy, , 
State Bank Of India,T1NW020187011,16.366633,78.054354,TELANGANA,Wanaparthy, KOTHAKOTA ROAD WANAPA, 
State Bank Of India,T1NW020187019,16.366993,78.069593,TELANGANA,Wanaparthy,WANAPARTHY, 
State Bank Of India,S1BW015884001,16.36925,77.94337,TELANGANA,Wanaparthy,MAHBUBNAGAR,509381
State Bank Of India,T1NW020189001,16.369728,78.069346,TELANGANA,Wanaparthy,GANDHI CHOWK ALAMPUR, 
State Bank Of India,S1BW005915001,16.37219,78.75941,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509128
Union Bank Of India,H2672101,16.3722,78.0693,TELANGANA,Wanaparthy,WANAPARTHY,509103
ICICI Bank Ltd,SACWH366,16.373968,77.77301,TELANGANA,Wanaparthy, , 
Union Bank Of India,N0936002,16.3754,78.2605,TELANGANA,Wanaparthy,REVALLY,509235
State Bank Of India,S1BW005647001,16.37574,78.83148,TELANGANA,Nagarkurnool,MAHBUBNAGAR,509201
State Bank Of India,S5NE015884621,16.37944,77.93221,TELANGANA,Wanaparthy,MAHBUBNAGAR,509381
Union Bank Of India,H0334101,16.3799,77.9415,TELANGANA,Wanaparthy,KOTHAKOTA,509381
HDFC Bank Ltd,P3ENHD54,16.3805,77.9411,TELANGANA,Wanaparthy,Wanaparthy,NULL
State Bank Of India,S1BW020188002,16.381561,78.923559,TELANGANA,Nagarkurnool,ACHAMPET, 
State Bank Of India,T1NW020187013,16.383465,77.929233,TELANGANA,Wanaparthy,KOTHAKOTHA, 
Central Bank Of India,D11D211101,16.38414,78.11083,TELANGANA,Wanaparthy, ,509130
State Bank Of India,S1BW020201001,16.384716,77.890851,TELANGANA,Wanaparthy,MADANAPURAM, 
